variant_a,variant_b,node_jaccard,edge_jaccard
gap0.50_n0.50_e0.35,gap0.60_n0.45_e0.30,0.9090909090909091,0.8518518518518519
gap0.50_n0.50_e0.40,gap0.60_n0.45_e0.30,0.9090909090909091,0.8518518518518519
gap0.60_n0.45_e0.30,gap0.60_n0.50_e0.35,0.9090909090909091,0.8518518518518519
gap0.60_n0.45_e0.30,gap0.60_n0.50_e0.40,0.9090909090909091,0.8518518518518519
gap0.40_n0.50_e0.35,gap0.40_n0.55_e0.30,0.8,0.7916666666666666
gap0.40_n0.50_e0.35,gap0.40_n0.55_e0.35,0.8,0.7916666666666666
gap0.40_n0.50_e0.35,gap0.40_n0.55_e0.40,0.8,0.7916666666666666
gap0.40_n0.50_e0.35,gap0.50_n0.55_e0.30,0.8,0.7916666666666666
gap0.40_n0.50_e0.35,gap0.50_n0.55_e0.35,0.8,0.7916666666666666
gap0.40_n0.50_e0.35,gap0.50_n0.55_e0.40,0.8,0.7916666666666666
gap0.40_n0.50_e0.35,gap0.60_n0.55_e0.30,0.8,0.7916666666666666
gap0.40_n0.50_e0.35,gap0.60_n0.55_e0.35,0.8,0.7916666666666666
gap0.40_n0.50_e0.35,gap0.60_n0.55_e0.40,0.8,0.7916666666666666
gap0.40_n0.50_e0.40,gap0.40_n0.55_e0.30,0.8,0.7916666666666666
gap0.40_n0.50_e0.40,gap0.40_n0.55_e0.35,0.8,0.7916666666666666
gap0.40_n0.50_e0.40,gap0.40_n0.55_e0.40,0.8,0.7916666666666666
gap0.40_n0.50_e0.40,gap0.50_n0.55_e0.30,0.8,0.7916666666666666
gap0.40_n0.50_e0.40,gap0.50_n0.55_e0.35,0.8,0.7916666666666666
gap0.40_n0.50_e0.40,gap0.50_n0.55_e0.40,0.8,0.7916666666666666
gap0.40_n0.50_e0.40,gap0.60_n0.55_e0.30,0.8,0.7916666666666666
gap0.40_n0.50_e0.40,gap0.60_n0.55_e0.35,0.8,0.7916666666666666
gap0.40_n0.50_e0.40,gap0.60_n0.55_e0.40,0.8,0.7916666666666666
gap0.40_n0.55_e0.30,gap0.50_n0.50_e0.35,0.8,0.7916666666666666
gap0.40_n0.55_e0.30,gap0.50_n0.50_e0.40,0.8,0.7916666666666666
gap0.40_n0.55_e0.30,gap0.60_n0.50_e0.35,0.8,0.7916666666666666
gap0.40_n0.55_e0.30,gap0.60_n0.50_e0.40,0.8,0.7916666666666666
gap0.40_n0.55_e0.35,gap0.50_n0.50_e0.35,0.8,0.7916666666666666
gap0.40_n0.55_e0.35,gap0.50_n0.50_e0.40,0.8,0.7916666666666666
gap0.40_n0.55_e0.35,gap0.60_n0.50_e0.35,0.8,0.7916666666666666
gap0.40_n0.55_e0.35,gap0.60_n0.50_e0.40,0.8,0.7916666666666666
gap0.40_n0.55_e0.40,gap0.50_n0.50_e0.35,0.8,0.7916666666666666
gap0.40_n0.55_e0.40,gap0.50_n0.50_e0.40,0.8,0.7916666666666666
gap0.40_n0.55_e0.40,gap0.60_n0.50_e0.35,0.8,0.7916666666666666
gap0.40_n0.55_e0.40,gap0.60_n0.50_e0.40,0.8,0.7916666666666666
gap0.50_n0.50_e0.35,gap0.50_n0.55_e0.30,0.8,0.7916666666666666
gap0.50_n0.50_e0.35,gap0.50_n0.55_e0.35,0.8,0.7916666666666666
gap0.50_n0.50_e0.35,gap0.50_n0.55_e0.40,0.8,0.7916666666666666
gap0.50_n0.50_e0.35,gap0.60_n0.55_e0.30,0.8,0.7916666666666666
gap0.50_n0.50_e0.35,gap0.60_n0.55_e0.35,0.8,0.7916666666666666
gap0.50_n0.50_e0.35,gap0.60_n0.55_e0.40,0.8,0.7916666666666666
gap0.50_n0.50_e0.40,gap0.50_n0.55_e0.30,0.8,0.7916666666666666
gap0.50_n0.50_e0.40,gap0.50_n0.55_e0.35,0.8,0.7916666666666666
gap0.50_n0.50_e0.40,gap0.50_n0.55_e0.40,0.8,0.7916666666666666
gap0.50_n0.50_e0.40,gap0.60_n0.55_e0.30,0.8,0.7916666666666666
gap0.50_n0.50_e0.40,gap0.60_n0.55_e0.35,0.8,0.7916666666666666
gap0.50_n0.50_e0.40,gap0.60_n0.55_e0.40,0.8,0.7916666666666666
gap0.50_n0.55_e0.30,gap0.60_n0.50_e0.35,0.8,0.7916666666666666
gap0.50_n0.55_e0.30,gap0.60_n0.50_e0.40,0.8,0.7916666666666666
gap0.50_n0.55_e0.35,gap0.60_n0.50_e0.35,0.8,0.7916666666666666
gap0.50_n0.55_e0.35,gap0.60_n0.50_e0.40,0.8,0.7916666666666666
gap0.50_n0.55_e0.40,gap0.60_n0.50_e0.35,0.8,0.7916666666666666
gap0.50_n0.55_e0.40,gap0.60_n0.50_e0.40,0.8,0.7916666666666666
gap0.60_n0.50_e0.35,gap0.60_n0.55_e0.30,0.8,0.7916666666666666
gap0.60_n0.50_e0.35,gap0.60_n0.55_e0.35,0.8,0.7916666666666666
gap0.60_n0.50_e0.35,gap0.60_n0.55_e0.40,0.8,0.7916666666666666
gap0.60_n0.50_e0.40,gap0.60_n0.55_e0.30,0.8,0.7916666666666666
gap0.60_n0.50_e0.40,gap0.60_n0.55_e0.35,0.8,0.7916666666666666
gap0.60_n0.50_e0.40,gap0.60_n0.55_e0.40,0.8,0.7916666666666666
gap0.40_n0.50_e0.30,gap0.40_n0.55_e0.30,0.8,0.76
gap0.40_n0.50_e0.30,gap0.40_n0.55_e0.35,0.8,0.76
gap0.40_n0.50_e0.30,gap0.40_n0.55_e0.40,0.8,0.76
gap0.40_n0.50_e0.30,gap0.50_n0.55_e0.30,0.8,0.76
gap0.40_n0.50_e0.30,gap0.50_n0.55_e0.35,0.8,0.76
gap0.40_n0.50_e0.30,gap0.50_n0.55_e0.40,0.8,0.76
gap0.40_n0.50_e0.30,gap0.60_n0.55_e0.30,0.8,0.76
gap0.40_n0.50_e0.30,gap0.60_n0.55_e0.35,0.8,0.76
gap0.40_n0.50_e0.30,gap0.60_n0.55_e0.40,0.8,0.76
gap0.40_n0.55_e0.30,gap0.50_n0.50_e0.30,0.8,0.76
gap0.40_n0.55_e0.30,gap0.60_n0.50_e0.30,0.8,0.76
gap0.40_n0.55_e0.35,gap0.50_n0.50_e0.30,0.8,0.76
gap0.40_n0.55_e0.35,gap0.60_n0.50_e0.30,0.8,0.76
gap0.40_n0.55_e0.40,gap0.50_n0.50_e0.30,0.8,0.76
gap0.40_n0.55_e0.40,gap0.60_n0.50_e0.30,0.8,0.76
gap0.50_n0.50_e0.30,gap0.50_n0.55_e0.30,0.8,0.76
gap0.50_n0.50_e0.30,gap0.50_n0.55_e0.35,0.8,0.76
gap0.50_n0.50_e0.30,gap0.50_n0.55_e0.40,0.8,0.76
gap0.50_n0.50_e0.30,gap0.60_n0.55_e0.30,0.8,0.76
gap0.50_n0.50_e0.30,gap0.60_n0.55_e0.35,0.8,0.76
gap0.50_n0.50_e0.30,gap0.60_n0.55_e0.40,0.8,0.76
gap0.50_n0.55_e0.30,gap0.60_n0.50_e0.30,0.8,0.76
gap0.50_n0.55_e0.35,gap0.60_n0.50_e0.30,0.8,0.76
gap0.50_n0.55_e0.40,gap0.60_n0.50_e0.30,0.8,0.76
gap0.60_n0.50_e0.30,gap0.60_n0.55_e0.30,0.8,0.76
gap0.60_n0.50_e0.30,gap0.60_n0.55_e0.35,0.8,0.76
gap0.60_n0.50_e0.30,gap0.60_n0.55_e0.40,0.8,0.76
gap0.40_n0.45_e0.35,gap0.40_n0.55_e0.30,0.7272727272727273,0.7307692307692307
gap0.40_n0.45_e0.35,gap0.40_n0.55_e0.35,0.7272727272727273,0.7307692307692307
gap0.40_n0.45_e0.35,gap0.40_n0.55_e0.40,0.7272727272727273,0.7307692307692307
gap0.40_n0.45_e0.35,gap0.50_n0.55_e0.30,0.7272727272727273,0.7307692307692307
gap0.40_n0.45_e0.35,gap0.50_n0.55_e0.35,0.7272727272727273,0.7307692307692307
gap0.40_n0.45_e0.35,gap0.50_n0.55_e0.40,0.7272727272727273,0.7307692307692307
gap0.40_n0.45_e0.35,gap0.60_n0.55_e0.30,0.7272727272727273,0.7307692307692307
gap0.40_n0.45_e0.35,gap0.60_n0.55_e0.35,0.7272727272727273,0.7307692307692307
gap0.40_n0.45_e0.35,gap0.60_n0.55_e0.40,0.7272727272727273,0.7307692307692307
gap0.40_n0.45_e0.40,gap0.40_n0.55_e0.30,0.7272727272727273,0.7307692307692307
gap0.40_n0.45_e0.40,gap0.40_n0.55_e0.35,0.7272727272727273,0.7307692307692307
gap0.40_n0.45_e0.40,gap0.40_n0.55_e0.40,0.7272727272727273,0.7307692307692307
gap0.40_n0.45_e0.40,gap0.50_n0.55_e0.30,0.7272727272727273,0.7307692307692307
gap0.40_n0.45_e0.40,gap0.50_n0.55_e0.35,0.7272727272727273,0.7307692307692307
gap0.40_n0.45_e0.40,gap0.50_n0.55_e0.40,0.7272727272727273,0.7307692307692307
gap0.40_n0.45_e0.40,gap0.60_n0.55_e0.30,0.7272727272727273,0.7307692307692307
gap0.40_n0.45_e0.40,gap0.60_n0.55_e0.35,0.7272727272727273,0.7307692307692307
gap0.40_n0.45_e0.40,gap0.60_n0.55_e0.40,0.7272727272727273,0.7307692307692307
gap0.40_n0.55_e0.30,gap0.50_n0.45_e0.35,0.7272727272727273,0.7307692307692307
gap0.40_n0.55_e0.30,gap0.50_n0.45_e0.40,0.7272727272727273,0.7307692307692307
gap0.40_n0.55_e0.30,gap0.60_n0.45_e0.35,0.7272727272727273,0.7307692307692307
gap0.40_n0.55_e0.30,gap0.60_n0.45_e0.40,0.7272727272727273,0.7307692307692307
gap0.40_n0.55_e0.35,gap0.50_n0.45_e0.35,0.7272727272727273,0.7307692307692307
gap0.40_n0.55_e0.35,gap0.50_n0.45_e0.40,0.7272727272727273,0.7307692307692307
gap0.40_n0.55_e0.35,gap0.60_n0.45_e0.35,0.7272727272727273,0.7307692307692307
gap0.40_n0.55_e0.35,gap0.60_n0.45_e0.40,0.7272727272727273,0.7307692307692307
gap0.40_n0.55_e0.40,gap0.50_n0.45_e0.35,0.7272727272727273,0.7307692307692307
gap0.40_n0.55_e0.40,gap0.50_n0.45_e0.40,0.7272727272727273,0.7307692307692307
gap0.40_n0.55_e0.40,gap0.60_n0.45_e0.35,0.7272727272727273,0.7307692307692307
gap0.40_n0.55_e0.40,gap0.60_n0.45_e0.40,0.7272727272727273,0.7307692307692307
gap0.50_n0.45_e0.35,gap0.50_n0.55_e0.30,0.7272727272727273,0.7307692307692307
gap0.50_n0.45_e0.35,gap0.50_n0.55_e0.35,0.7272727272727273,0.7307692307692307
gap0.50_n0.45_e0.35,gap0.50_n0.55_e0.40,0.7272727272727273,0.7307692307692307
gap0.50_n0.45_e0.35,gap0.60_n0.55_e0.30,0.7272727272727273,0.7307692307692307
gap0.50_n0.45_e0.35,gap0.60_n0.55_e0.35,0.7272727272727273,0.7307692307692307
gap0.50_n0.45_e0.35,gap0.60_n0.55_e0.40,0.7272727272727273,0.7307692307692307
gap0.50_n0.45_e0.40,gap0.50_n0.55_e0.30,0.7272727272727273,0.7307692307692307
gap0.50_n0.45_e0.40,gap0.50_n0.55_e0.35,0.7272727272727273,0.7307692307692307
gap0.50_n0.45_e0.40,gap0.50_n0.55_e0.40,0.7272727272727273,0.7307692307692307
gap0.50_n0.45_e0.40,gap0.60_n0.55_e0.30,0.7272727272727273,0.7307692307692307
gap0.50_n0.45_e0.40,gap0.60_n0.55_e0.35,0.7272727272727273,0.7307692307692307
gap0.50_n0.45_e0.40,gap0.60_n0.55_e0.40,0.7272727272727273,0.7307692307692307
gap0.50_n0.55_e0.30,gap0.60_n0.45_e0.35,0.7272727272727273,0.7307692307692307
gap0.50_n0.55_e0.30,gap0.60_n0.45_e0.40,0.7272727272727273,0.7307692307692307
gap0.50_n0.55_e0.35,gap0.60_n0.45_e0.35,0.7272727272727273,0.7307692307692307
gap0.50_n0.55_e0.35,gap0.60_n0.45_e0.40,0.7272727272727273,0.7307692307692307
gap0.50_n0.55_e0.40,gap0.60_n0.45_e0.35,0.7272727272727273,0.7307692307692307
gap0.50_n0.55_e0.40,gap0.60_n0.45_e0.40,0.7272727272727273,0.7307692307692307
gap0.60_n0.45_e0.35,gap0.60_n0.55_e0.30,0.7272727272727273,0.7307692307692307
gap0.60_n0.45_e0.35,gap0.60_n0.55_e0.35,0.7272727272727273,0.7307692307692307
gap0.60_n0.45_e0.35,gap0.60_n0.55_e0.40,0.7272727272727273,0.7307692307692307
gap0.60_n0.45_e0.40,gap0.60_n0.55_e0.30,0.7272727272727273,0.7307692307692307
gap0.60_n0.45_e0.40,gap0.60_n0.55_e0.35,0.7272727272727273,0.7307692307692307
gap0.60_n0.45_e0.40,gap0.60_n0.55_e0.40,0.7272727272727273,0.7307692307692307
gap0.40_n0.45_e0.30,gap0.40_n0.55_e0.30,0.7272727272727273,0.6785714285714286
gap0.40_n0.45_e0.30,gap0.40_n0.55_e0.35,0.7272727272727273,0.6785714285714286
gap0.40_n0.45_e0.30,gap0.40_n0.55_e0.40,0.7272727272727273,0.6785714285714286
gap0.40_n0.45_e0.30,gap0.50_n0.55_e0.30,0.7272727272727273,0.6785714285714286
gap0.40_n0.45_e0.30,gap0.50_n0.55_e0.35,0.7272727272727273,0.6785714285714286
gap0.40_n0.45_e0.30,gap0.50_n0.55_e0.40,0.7272727272727273,0.6785714285714286
gap0.40_n0.45_e0.30,gap0.60_n0.55_e0.30,0.7272727272727273,0.6785714285714286
gap0.40_n0.45_e0.30,gap0.60_n0.55_e0.35,0.7272727272727273,0.6785714285714286
gap0.40_n0.45_e0.30,gap0.60_n0.55_e0.40,0.7272727272727273,0.6785714285714286
gap0.40_n0.55_e0.30,gap0.50_n0.45_e0.30,0.7272727272727273,0.6785714285714286
gap0.40_n0.55_e0.30,gap0.60_n0.45_e0.30,0.7272727272727273,0.6785714285714286
gap0.40_n0.55_e0.35,gap0.50_n0.45_e0.30,0.7272727272727273,0.6785714285714286
gap0.40_n0.55_e0.35,gap0.60_n0.45_e0.30,0.7272727272727273,0.6785714285714286
gap0.40_n0.55_e0.40,gap0.50_n0.45_e0.30,0.7272727272727273,0.6785714285714286
gap0.40_n0.55_e0.40,gap0.60_n0.45_e0.30,0.7272727272727273,0.6785714285714286
gap0.50_n0.45_e0.30,gap0.50_n0.55_e0.30,0.7272727272727273,0.6785714285714286
gap0.50_n0.45_e0.30,gap0.50_n0.55_e0.35,0.7272727272727273,0.6785714285714286
gap0.50_n0.45_e0.30,gap0.50_n0.55_e0.40,0.7272727272727273,0.6785714285714286
gap0.50_n0.45_e0.30,gap0.60_n0.55_e0.30,0.7272727272727273,0.6785714285714286
gap0.50_n0.45_e0.30,gap0.60_n0.55_e0.35,0.7272727272727273,0.6785714285714286
gap0.50_n0.45_e0.30,gap0.60_n0.55_e0.40,0.7272727272727273,0.6785714285714286
gap0.50_n0.55_e0.30,gap0.60_n0.45_e0.30,0.7272727272727273,0.6785714285714286
gap0.50_n0.55_e0.35,gap0.60_n0.45_e0.30,0.7272727272727273,0.6785714285714286
gap0.50_n0.55_e0.40,gap0.60_n0.45_e0.30,0.7272727272727273,0.6785714285714286
gap0.60_n0.45_e0.30,gap0.60_n0.55_e0.30,0.7272727272727273,0.6785714285714286
gap0.60_n0.45_e0.30,gap0.60_n0.55_e0.35,0.7272727272727273,0.6785714285714286
gap0.60_n0.45_e0.30,gap0.60_n0.55_e0.40,0.7272727272727273,0.6785714285714286
